recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
60,2,8028,5,1,3,3,4,Loyal Customer
851,3,7462,1,2,3,4,2,About to Sleep
11,5,13672,5,4,5,0,3,Champions
380,6,16908,2,5,5,3,0,Potential Loyalist
4,4,9753,5,3,4,0,3,Champions
155,5,13879,3,4,5,3,4,Loyal Customer
28,6,14428,5,5,5,0,3,Champions
417,3,2848,2,2,1,1,1,Hibernating
86,1,1764,4,1,1,4,2,About to Sleep
615,3,6533,1,2,2,1,1,Hibernating
531,2,7784,1,1,3,4,2,About to Sleep
379,5,10814,2,4,4,2,0,Potential Loyalist
106,2,3986,4,1,2,4,2,About to Sleep
266,3,5581,3,2,2,4,2,About to Sleep
53,2,5989,5,1,2,3,4,Loyal Customer
203,1,2246,3,1,1,1,1,Hibernating
369,2,2758,2,1,1,1,1,Hibernating
149,3,12574,4,2,4,3,4,Loyal Customer
25,3,2694,5,2,1,3,0,Potential Loyalist
2,4,11461,5,3,4,0,3,Champions
2,1,109,5,1,1,2,0,Potential Loyalist
257,6,7137,3,5,3,2,0,Potential Loyalist
136,3,9044,4,2,3,3,4,Loyal Customer
1044,1,5400,1,1,2,1,1,Hibernating
233,3,8398,3,2,3,2,2,About to Sleep
144,7,14565,4,5,5,0,3,Champions
238,2,5607,3,1,2,4,2,About to Sleep
32,5,16396,5,4,5,0,3,Champions
44,3,15007,5,2,5,0,4,Loyal Customer
355,3,5540,2,2,2,4,2,About to Sleep
221,3,12884,3,2,4,2,4,Loyal Customer
462,5,14362,1,4,5,2,0,About to Sleep
165,4,13413,3,3,4,3,4,Loyal Customer
199,3,3737,3,2,1,4,2,About to Sleep
480,2,6518,1,1,2,1,1,Hibernating
278,5,15333,2,4,5,2,0,Loyal Customer
168,3,2656,3,2,1,4,2,About to Sleep
202,3,10127,3,2,4,2,4,Loyal Customer
571,3,7448,1,2,3,4,2,About to Sleep
371,7,12623,2,5,4,2,0,Potential Loyalist
119,6,18387,4,5,5,0,3,Champions
353,3,5684,2,2,2,4,2,About to Sleep
57,8,17582,5,5,5,0,3,Champions
117,3,5859,4,2,2,2,0,Potential Loyalist
62,3,3181,5,2,1,3,0,Potential Loyalist
878,1,5340,1,1,2,1,1,Hibernating
39,6,20308,5,5,5,0,3,Champions
690,1,673,1,1,1,1,1,Hibernating
304,3,8997,2,2,3,4,2,About to Sleep
331,2,4371,2,1,2,4,2,Hibernating
54,5,7410,5,4,3,0,3,Champions
609,2,9505,1,1,3,4,2,About to Sleep
238,6,24480,3,5,5,3,3,Champions
122,7,15010,4,5,5,0,3,Champions
95,1,5485,4,1,2,4,2,About to Sleep
71,3,10101,4,2,4,3,4,Loyal Customer
766,3,5783,1,2,2,1,1,Hibernating
339,7,11876,2,5,4,2,0,Potential Loyalist
141,5,13620,4,4,5,3,3,Champions
1093,1,3340,1,1,1,1,1,Hibernating
179,3,3616,3,2,1,4,2,About to Sleep
215,8,20126,3,5,5,3,3,Champions
28,5,13103,5,4,4,0,3,Champions
276,5,15886,2,4,5,2,0,Loyal Customer
1108,1,3411,1,1,1,1,1,Hibernating
70,5,9307,4,4,3,3,3,Champions
350,6,8700,2,5,3,2,0,Potential Loyalist
430,2,8409,2,1,3,4,2,About to Sleep
342,8,17075,2,5,5,3,0,Potential Loyalist
191,4,4158,3,3,2,2,0,Potential Loyalist
31,4,10207,5,3,4,0,3,Champions
232,5,5881,3,4,2,2,0,Potential Loyalist
194,3,14920,3,2,5,3,4,Loyal Customer
253,2,3880,3,1,1,1,1,Hibernating
487,1,2310,1,1,1,1,1,Hibernating
